NC1	NC2	NC3	NC4	NC5
Zm00001d027230	0.322157442273027	0.434899542326879	0.555378980640614	0.459014253346877	0.69771332319996
Zm00001d027233	0.0025694475759044	0.00906942682198336	0.00243765601638098	0.00638559791223359	0.00616653215645064
Zm00001d027236	0.920527657689449	0.626204329319486	0.442225642616899	0.271285996663763	1.19904179204824
Zm00001d027240	3.48713752689203	1.64339851450651	1.19158017997278	1.16203327974856	4.0417010391845
Zm00001d027239	2.65704873584906	1.19801609658192	1.08169591932164	1.36470841542942	3.11543221790973
Zm00001d027231	3.44646960857968	2.35291599387355	0.393962357948948	2.2292003009887	4.03212459498653
Zm00001d027244	0.0124326330346722	0	0.00379949428990336	0.0107851932754163	0.0266025256058866
Zm00001d027245	0	0	0	0.0100307251127373	0
Zm00001d027248	1.14520931341272	0.708695490377572	0.182061966686228	1.00647032096367	1.12159028522645
Zm00001d027250	0.181520555982209	0	0.775496834965198	0	0
Zm00001d027254	0.106763773471534	0.104988623101731	0.0510191952830773	0.0633324581727465	0.179709956499663
Zm00001d022649	1.4615489304122	0.134445877111898	0.653874789595849	0.677073141907654	0.385512145098968
Zm00001d027256	0.34995463717617	0.301927799310494	0.358659390950374	0.0508470973958837	0.647933554103316
Zm00001d027257	1.48277155608063	0.648001332662211	0.750842061425396	0.776109816729064	1.51260052783576
Zm00001d022650	0.505439214141719	0.347901516823539	0.462656361203749	0.101899451195187	0.674935663633518
Zm00001d027266	0.904694796982904	1.01492392429574	0.881254483647949	0.663357481925912	1.46595182831404
Zm00001d027265	0.716010083324005	0.312860824639698	0.551810678313594	0.635001001632918	1.03446914314104
Zm00001d027275	1.12694958812399	0.387584315964346	0.520374551775798	0.516087792401639	1.73500505738768
Zm00001d027267	2.88611498819152	2.17578123340377	0.852347564908442	0.8619534168407	3.21744831637643
Zm00001d027268	0	0	0.103976132843771	0.0500320401317283	0.103402192164413
Zm00001d027242	4.38418411085325	1.7450426206627	1.32025999397449	1.32550698381631	4.42169692968257
Zm00001d027276	2.15719870246587	1.05237429897683	1.23242249911458	0.879751604704398	1.81429270057074
Zm00001d027277	0.000588131247322214	0	0.00580486707721491	0.0513674626450615	0.0122641438650862
Zm00001d027271	0.946604735394169	0.260004971531929	0.694707698488336	0.460670662781592	0.918025449925679
Zm00001d027283	0.365450121506052	1.86223593222401	0.354248018109224	0.032941850010678	1.5732829757488
Zm00001d027281	0.0555745130626831	0.692657943747663	0.176995093003529	0	0.587190731293577
Zm00001d027286	0.0962206844132136	0.0578254080368084	0.0855753322823462	0.0307200543500644	0
Zm00001d027288	3.87296687601236	1.5200736013076	1.42522216097325	1.94158140994752	3.17012122850904
Zm00001d027291	0	1.41377530688221	0.0711564499449636	0	1.26014104948229
Zm00001d027290	1.71432666075018	0.787534509265283	0.746421361777217	0.226914358290417	1.04866452034598
Zm00001d027258	1.71551978580184	3.6980786973025	2.39047803574877	0.604324855953586	1.45929835854469
Zm00001d027259	2.38806225511035	1.13019105419656	1.14165052144145	1.53747996909209	2.27386176737142
Zm00001d027298	0.00189580155568178	0.0412874339150777	0.343352155488579	0.206320533233228	0.0855270521353995
Zm00001d027296	1.29031819514722	0.473270982895041	0.37768278250467	0.758722494853024	1.62052610384452
Zm00001d027295	3.12450497739934	1.49831318979693	0.916235493131821	2.27856433953953	2.81167790805825
Zm00001d027300	0	0	0.42729002817566	0.208649398980654	0
Zm00001d027306	0	0.0260115794636925	0.00378341947168441	0.0988988438402467	0.0206614465682693
Zm00001d027302	3.13787569385972	1.46531063723532	0.554555738233541	1.17942293666609	3.54150644215804
Zm00001d027310	2.08532821585052	0.074531209978449	0.137005187433251	0.429737219335108	1.56554147439289
Zm00001d027311	0.305772889994596	0.592146967765792	0.218412278811293	0.27096096568677	0.976683462495467
Zm00001d027315	0	0.107434781118846	0.337118130564298	0.748052665158144	0.603776553626208
Zm00001d027312	1.91911724643735	1.10708542188139	0.356967414060956	0.699043151723994	1.93529845739636
Zm00001d027304	0	0	0.00700640490059521	0.468238996091351	0.00295091993484565
Zm00001d027309	2.5732086776723	1.43689035435646	0.937749515027031	1.23403836065968	2.21952983295478
Zm00001d027314	2.35688837089607	1.05253778179173	1.04057733607583	1.43705181349239	2.43942910762645
Zm00001d027322	0	0.0062121259230512	0.00144527260552205	0.000514151916160669	0.0188563823760366
Zm00001d027318	5.44710504932201	2.28028671649823	1.22672930119251	2.50497151172266	5.17166004299779
Zm00001d027323	2.31623335211746	2.34770384525856	0.969987589860829	1.34722494193837	3.83017125430706
Zm00001d027319	2.34098493032637	0.733187992201923	0.587975918745734	0.953109241972327	2.60242198999291
